"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"128",0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,"audio_features","2RttW7RAu5nOAfq6YFvApB","spotify:track:2RttW7RAu5nOAfq6YFvApB","https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB","https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB",207520,4,"pop"
"129",0.781,0.853,1,-3.68,0,0.0715,0.0525,0,0.12,0.624,110.049,"audio_features","3u0qM9FSgL3zXi1Vn75b0i","spotify:track:3u0qM9FSgL3zXi1Vn75b0i","https://api.spotify.com/v1/tracks/3u0qM9FSgL3zXi1Vn75b0i","https://api.spotify.com/v1/audio-analysis/3u0qM9FSgL3zXi1Vn75b0i",250189,4,"pop"
"130",0.559,0.33,9,-8.251,1,0.0285,0.892,0,0.0975,0.285,135.109,"audio_features","4kflIGfjdZJW4ot2ioixTB","spotify:track:4kflIGfjdZJW4ot2ioixTB","https://api.spotify.com/v1/tracks/4kflIGfjdZJW4ot2ioixTB","https://api.spotify.com/v1/audio-analysis/4kflIGfjdZJW4ot2ioixTB",285040,4,"pop"
"131",0.738,0.491,1,-9.726,0,0.413,0.626,0,0.126,0.448,94.378,"audio_features","10VBBaul4zVD0reteuIHM2","spotify:track:10VBBaul4zVD0reteuIHM2","https://api.spotify.com/v1/tracks/10VBBaul4zVD0reteuIHM2","https://api.spotify.com/v1/audio-analysis/10VBBaul4zVD0reteuIHM2",322160,4,"pop"
"132",0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,"audio_features","6mapJIPnQ23RTAevUoE0DL","spotify:track:6mapJIPnQ23RTAevUoE0DL","https://api.spotify.com/v1/tracks/6mapJIPnQ23RTAevUoE0DL","https://api.spotify.com/v1/audio-analysis/6mapJIPnQ23RTAevUoE0DL",208120,4,"pop"
"133",0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,"audio_features","40FLJc17FMZaPmCQEEZgB0","spotify:track:40FLJc17FMZaPmCQEEZgB0","https://api.spotify.com/v1/tracks/40FLJc17FMZaPmCQEEZgB0","https://api.spotify.com/v1/audio-analysis/40FLJc17FMZaPmCQEEZgB0",216027,4,"pop"
"134",0.657,0.703,1,-3.402,1,0.0753,0.222,0,0.256,0.338,122.381,"audio_features","0Zx8khUcEfCFK2AEoIhC92","spotify:track:0Zx8khUcEfCFK2AEoIhC92","https://api.spotify.com/v1/tracks/0Zx8khUcEfCFK2AEoIhC92","https://api.spotify.com/v1/audio-analysis/0Zx8khUcEfCFK2AEoIhC92",214693,4,"pop"
"135",0.654,0.796,2,-4.761,0,0.122,0.0188,0,0.0948,0.491,108.854,"audio_features","2eAAEa8pxKF7My0EO4rFgR","spotify:track:2eAAEa8pxKF7My0EO4rFgR","https://api.spotify.com/v1/tracks/2eAAEa8pxKF7My0EO4rFgR","https://api.spotify.com/v1/audio-analysis/2eAAEa8pxKF7My0EO4rFgR",178583,4,"pop"
"136",0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,"audio_features","7KXjTSCq5nL1LoYtL7XAwS","spotify:track:7KXjTSCq5nL1LoYtL7XAwS","https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS","https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS",177000,4,"pop"
"137",0.861,0.33,6,-7.194,1,0.0526,0.627,1.93e-06,0.14,0.718,95.016,"audio_features","66wkCYWlXzSTQAfnsPBptt","spotify:track:66wkCYWlXzSTQAfnsPBptt","https://api.spotify.com/v1/tracks/66wkCYWlXzSTQAfnsPBptt","https://api.spotify.com/v1/audio-analysis/66wkCYWlXzSTQAfnsPBptt",216000,4,"pop"
